scenario_key,hand_category,position,stack_depth,blinds_level,training_games,total_visits,estimated_ev,ev_std_dev,best_action,confidence,player,fold_pct,call_small_pct,call_mid_pct,call_high_pct,raise_small_pct,raise_mid_pct,raise_high_pct
trash|BTN|very_deep|low,trash,BTN,very_deep,low,3,4,-54.583,76.132,FOLD,0.777,HERO,77.7,11.2,0.0,0.0,11.1,0.0,0.0
trash|BTN|very_deep|high,trash,BTN,very_deep,high,2,4,-19.052,13.802,RAISE_SMALL,0.667,VILLAIN,16.7,16.7,0.0,0.0,66.7,0.0,0.0
trash|BB|medium|high,trash,BB,medium,high,0,2,0.0,0.0,FOLD,0.625,VILLAIN,62.5,12.5,0.0,0.0,12.5,12.5,0.0
trash|BTN|very_deep|medium,trash,BTN,very_deep,medium,0,4,0.0,0.0,RAISE_HIGH,0.571,VILLAIN,3.6,3.6,3.6,3.6,8.9,19.8,57.1
trash|BTN|deep|medium,trash,BTN,deep,medium,0,2,0.0,0.0,RAISE_HIGH,0.5,VILLAIN,10.0,10.0,0.0,0.0,20.0,10.0,50.0
trash|BTN|very_deep|high,trash,BTN,very_deep,high,2,4,19.052,13.802,RAISE_MID,0.433,HERO,10.0,10.0,0.0,0.0,26.7,43.3,10.0
trash|BB|very_deep|low,trash,BB,very_deep,low,2,2,-6.04,5.29,FOLD,0.333,VILLAIN,33.3,33.3,0.0,0.0,33.3,0.0,0.0
trash|BTN|short|medium,trash,BTN,short,medium,1,1,7.585,0.0,FOLD,0.333,HERO,33.3,33.3,0.0,0.0,33.3,0.0,0.0
trash|BB|very_deep|medium,trash,BB,very_deep,medium,6,5,-22.35,48.36,RAISE_HIGH,0.307,HERO,3.6,28.6,9.8,6.7,3.6,17.1,30.7
trash|BTN|medium|low,trash,BTN,medium,low,0,1,0.0,0.0,FOLD,0.25,VILLAIN,25.0,25.0,0.0,0.0,25.0,25.0,0.0
trash|BB|very_deep|medium,trash,BB,very_deep,medium,6,5,22.35,48.36,FOLD,0.2,VILLAIN,20.0,20.0,0.0,0.0,20.0,20.0,20.0
trash|BB|very_deep|high,trash,BB,very_deep,high,3,1,-65.825,75.961,FOLD,0.2,HERO,20.0,20.0,0.0,0.0,20.0,20.0,20.0
trash|BB|very_deep|low,trash,BB,very_deep,low,2,2,6.04,5.29,FOLD,0.2,HERO,20.0,20.0,0.0,0.0,20.0,20.0,20.0
trash|BTN|deep|high,trash,BTN,deep,high,1,2,0.75,0.0,FOLD,0.2,VILLAIN,20.0,20.0,0.0,0.0,20.0,20.0,20.0
trash|BTN|deep|low,trash,BTN,deep,low,0,1,0.0,0.0,FOLD,0.2,VILLAIN,20.0,20.0,0.0,0.0,20.0,20.0,20.0
trash|BTN|medium|high,trash,BTN,medium,high,0,1,0.0,0.0,FOLD,0.2,VILLAIN,20.0,20.0,0.0,0.0,20.0,20.0,20.0
trash|BTN|very_deep|low,trash,BTN,very_deep,low,3,4,54.583,76.132,FOLD,0.143,VILLAIN,14.3,14.3,14.3,14.3,14.3,14.3,14.3
trash|BTN|deep|high,trash,BTN,deep,high,1,2,-0.75,0.0,FOLD,0.143,HERO,14.3,14.3,14.3,14.3,14.3,14.3,14.3
trash|BB|deep|high,trash,BB,deep,high,1,1,-3.75,0.0,FOLD,0.143,HERO,14.3,14.3,14.3,14.3,14.3,14.3,14.3
