hand_category,position,stack_depth,blinds_level,villain_stack_category,opponent_action,is_3bet,action_history,final_pot_bb,hero_payoff,hero_won,showdown,hero_cards,villain_cards,timestamp,scenario_key
trash,BB,very_deep,medium,very_deep,raise_mid,False,"[{'actor': 'villain', 'action': 'raise_mid', 'is_hero': False}, {'actor': 'hero', 'action': 'fold', 'is_hero': True}]",6.0,-3.0,False,False,[6♣] [A♣],[Q♣] [J♠],2025-08-12T09:27:45.997975,trash|BB|very_deep|medium
trash,BB,very_deep,medium,deep,raise_mid,False,"[{'actor': 'villain', 'action': 'raise_mid', 'is_hero': False}, {'actor': 'hero', 'action': 'call_mid', 'is_hero': True}]",21.3,-10.65,False,True,[K♣] [5♥],[K♠] [A♣],2025-08-12T09:27:46.444521,trash|BB|very_deep|medium
trash,BB,deep,low,deep,raise_mid,False,"[{'actor': 'villain', 'action': 'raise_mid', 'is_hero': False}, {'actor': 'hero', 'action': 'call_mid', 'is_hero': True}]",11.9,5.95,True,True,[Q♦] [T♥],[6♦] [9♠],2025-08-12T09:27:46.887143,trash|BB|deep|low
trash,BTN,very_deep,low,very_deep,raise_mid,True,"[{'actor': 'hero', 'action': 'call_small', 'is_hero': True}, {'actor': 'villain', 'action': 'raise_small', 'is_hero': False}, {'actor': 'hero', 'action': 'raise_high', 'is_hero': True}, {'actor': 'villain', 'action': 'raise_mid', 'is_hero': False}]",324.5,-162.25,False,True,[T♣] [T♥],[A♦] [Q♥],2025-08-12T09:27:47.321674,trash|BTN|very_deep|low
trash,BB,very_deep,high,very_deep,raise_small,True,"[{'actor': 'villain', 'action': 'call_small', 'is_hero': False}, {'actor': 'hero', 'action': 'raise_mid', 'is_hero': True}, {'actor': 'villain', 'action': 'raise_small', 'is_hero': False}, {'actor': 'hero', 'action': 'raise_mid', 'is_hero': True}]",346.5,-173.25,False,True,[7♦] [8♠],[J♣] [J♠],2025-08-12T09:27:47.755027,trash|BB|very_deep|high
trash,BTN,short,medium,very_deep,raise_high,False,"[{'actor': 'hero', 'action': 'call_small', 'is_hero': True}, {'actor': 'villain', 'action': 'raise_high', 'is_hero': False}, {'actor': 'hero', 'action': 'call_small', 'is_hero': True}]",15.17,7.585,True,True,[K♥] [T♣],[2♠] [8♠],2025-08-12T09:27:48.185646,trash|BTN|short|medium
trash,BTN,very_deep,high,medium,call_small,False,"[{'actor': 'hero', 'action': 'raise_high', 'is_hero': True}, {'actor': 'villain', 'action': 'call_small', 'is_hero': False}]",10.5,5.25,True,True,[8♠] [9♣],[4♣] [8♥],2025-08-12T09:27:48.619675,trash|BTN|very_deep|high
trash,BB,very_deep,medium,deep,call_high,True,"[{'actor': 'villain', 'action': 'raise_mid', 'is_hero': False}, {'actor': 'hero', 'action': 'raise_small', 'is_hero': True}, {'actor': 'villain', 'action': 'call_high', 'is_hero': False}]",29.35,14.675,True,True,[9♦] [Q♦],[7♦] [J♥],2025-08-12T09:27:49.052506,trash|BB|very_deep|medium
trash,BB,very_deep,low,very_deep,fold,False,"[{'actor': 'villain', 'action': 'fold', 'is_hero': False}]",1.5,0.75,True,False,[5♣] [2♠],[6♦] [3♥],2025-08-12T09:27:49.053316,trash|BB|very_deep|low
trash,BTN,very_deep,high,medium,raise_small,False,"[{'actor': 'hero', 'action': 'call_small', 'is_hero': True}, {'actor': 'villain', 'action': 'raise_small', 'is_hero': False}, {'actor': 'hero', 'action': 'call_small', 'is_hero': True}]",65.71,32.855,True,True,[6♠] [K♥],[9♥] [6♣],2025-08-12T09:27:49.485035,trash|BTN|very_deep|high
