scenario_key,hand_category,position,stack_depth,blinds_level,training_games,total_visits,estimated_ev,ev_std_dev,best_action,confidence,player,fold_pct,call_small_pct,call_mid_pct,call_high_pct,raise_small_pct,raise_mid_pct,raise_high_pct
trash|BTN|very_deep|medium,trash,BTN,very_deep,medium,0,2,0.0,0.0,CALL_SMALL,0.571,VILLAIN,7.1,57.1,7.1,7.1,7.1,7.1,7.1
trash|BB|very_deep|medium,trash,BB,very_deep,medium,2,2,-55.175,52.175,FOLD,0.384,HERO,38.4,16.5,13.4,10.3,7.1,7.1,7.1
trash|BB|short|low,trash,BB,short,low,1,1,-97.25,0.0,FOLD,0.333,HERO,33.3,33.3,0.0,0.0,33.3,0.0,0.0
trash|BTN|ultra_short|low,trash,BTN,ultra_short,low,0,1,0.0,0.0,FOLD,0.333,VILLAIN,33.3,33.3,0.0,0.0,33.3,0.0,0.0
trash|BTN|very_deep|low,trash,BTN,very_deep,low,0,1,0.0,0.0,FOLD,0.333,VILLAIN,33.3,33.3,0.0,0.0,33.3,0.0,0.0
trash|BB|very_deep|high,trash,BB,very_deep,high,2,1,5.15,5.9,FOLD,0.2,VILLAIN,20.0,20.0,0.0,0.0,20.0,20.0,20.0
trash|BB|very_deep|low,trash,BB,very_deep,low,1,1,9.45,0.0,FOLD,0.2,HERO,20.0,20.0,0.0,0.0,20.0,20.0,20.0
trash|BTN|deep|high,trash,BTN,deep,high,1,2,-12.225,0.0,FOLD,0.2,HERO,20.0,20.0,0.0,0.0,20.0,20.0,20.0
trash|BTN|very_deep|high,trash,BTN,very_deep,high,0,1,0.0,0.0,FOLD,0.2,VILLAIN,20.0,20.0,0.0,0.0,20.0,20.0,20.0
trash|BTN|deep|medium,trash,BTN,deep,medium,1,1,-0.75,0.0,FOLD,0.143,HERO,14.3,14.3,14.3,14.3,14.3,14.3,14.3
trash|BTN|deep|high,trash,BTN,deep,high,1,2,12.225,0.0,FOLD,0.143,VILLAIN,14.3,14.3,14.3,14.3,14.3,14.3,14.3
trash|BTN|medium|medium,trash,BTN,medium,medium,0,1,0.0,0.0,FOLD,0.143,VILLAIN,14.3,14.3,14.3,14.3,14.3,14.3,14.3
