scenario_key,hand_category,example_hands,position,stack_depth,bet_size_category,tournament_stage,training_games,best_action,confidence,fold_prob,call_small_prob,call_mid_prob,call_high_prob,raise_small_prob,raise_mid_prob,raise_high_prob
medium_aces_BTN_ultra_short_huge_late,medium,,aces,BTN,ultra,short,11,CALL_HIGH,0.955,0.045,0.0,0.0,0.955,0.0,0.0,0.0
trash_BB_deep_tiny_middle,trash,"72o, 83o, 94o",BB,deep,tiny,middle,13,CALL_SMALL,0.938,0.015,0.938,0.0,0.0,0.015,0.015,0.015
suited_broadway_BTN_ultra_short_huge_middle,suited,,broadway,BTN,ultra,short,7,CALL_HIGH,0.929,0.071,0.0,0.0,0.929,0.0,0.0,0.0
suited_connectors_BB_deep_tiny_middle,suited,,connectors,BB,deep,tiny,10,CALL_SMALL,0.866,0.02,0.866,0.0,0.0,0.074,0.02,0.02
premium_aces_BTN_short_large_bubble,premium,,aces,BTN,short,large,14,FOLD,0.852,0.852,0.0,0.0,0.1,0.019,0.014,0.014
small_pairs_BB_ultra_short_huge_middle,small,,pairs,BB,ultra,short,7,CALL_HIGH,0.786,0.214,0.0,0.0,0.786,0.0,0.0,0.0
trash_BB_very_deep_tiny_middle,trash,"72o, 83o, 94o",BB,very,deep,tiny,12,RAISE_MID,0.745,0.017,0.029,0.0,0.0,0.029,0.745,0.18
medium_aces_BB_short_small_early,medium,,aces,BB,short,small,11,FOLD,0.738,0.738,0.0,0.207,0.0,0.018,0.018,0.018
suited_broadway_BB_deep_tiny_early,suited,,broadway,BB,deep,tiny,5,CALL_SMALL,0.72,0.04,0.72,0.0,0.0,0.054,0.091,0.095
suited_connectors_BTN_ultra_short_no_bet_middle,suited,,connectors,BTN,ultra,short,8,FOLD,0.719,0.719,0.0,0.0,0.0,0.094,0.094,0.094
small_pairs_BB_ultra_short_small_early,small,,pairs,BB,ultra,short,8,FOLD,0.715,0.715,0.205,0.0,0.0,0.025,0.03,0.025
premium_pairs_BTN_ultra_short_no_bet_middle,premium,,pairs,BTN,ultra,short,10,RAISE_HIGH,0.69,0.173,0.0,0.0,0.0,0.086,0.05,0.69
suited_broadway_BB_very_deep_tiny_early,suited,,broadway,BB,very,deep,5,RAISE_HIGH,0.643,0.04,0.04,0.0,0.0,0.057,0.22,0.643
offsuit_broadway_BTN_medium_tiny_early,offsuit,,broadway,BTN,medium,tiny,15,RAISE_HIGH,0.639,0.013,0.013,0.0,0.0,0.087,0.248,0.639
medium_pairs_BB_very_deep_tiny_early,medium,,pairs,BB,very,deep,10,CALL_SMALL,0.612,0.268,0.612,0.0,0.0,0.04,0.04,0.04
offsuit_broadway_BB_very_deep_tiny_middle,offsuit,,broadway,BB,very,deep,3,CALL_SMALL,0.593,0.091,0.593,0.0,0.0,0.067,0.067,0.183
trash_BB_short_small_late,trash,"72o, 83o, 94o",BB,short,small,late,18,FOLD,0.582,0.582,0.0,0.166,0.0,0.021,0.057,0.173
premium_pairs_BTN_very_deep_no_bet_late,premium,,pairs,BTN,very,deep,12,RAISE_HIGH,0.573,0.021,0.0,0.0,0.0,0.161,0.245,0.573
premium_aces_BTN_short_no_bet_bubble,premium,,aces,BTN,short,no,9,RAISE_HIGH,0.573,0.028,0.0,0.0,0.0,0.155,0.244,0.573
weak_aces_BB_medium_tiny_late,weak,,aces,BB,medium,tiny,10,RAISE_HIGH,0.562,0.02,0.02,0.0,0.0,0.194,0.204,0.562
premium_pairs_BTN_short_small_bubble,premium,,pairs,BTN,short,small,7,RAISE_HIGH,0.561,0.029,0.0,0.029,0.0,0.105,0.278,0.561
trash_BB_ultra_short_small_middle,trash,"72o, 83o, 94o",BB,ultra,short,small,7,RAISE_HIGH,0.561,0.029,0.134,0.0,0.0,0.087,0.189,0.561
suited_connectors_BB_deep_tiny_late,suited,,connectors,BB,deep,tiny,12,RAISE_HIGH,0.554,0.017,0.017,0.0,0.0,0.151,0.262,0.554
