scenario_key,hand_category,example_hands,position,stack_depth,blinds_level,training_games,recommended_action,confidence_percent,fold_percent,call_small_percent,call_mid_percent,call_high_percent,raise_small_percent,raise_mid_percent,raise_high_percent
medium_pairs|BB|ultra_short|low,medium_pairs,"99, 88, 77",BB,ultra_short,low,2,FOLD,100.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0
small_pairs|BB|ultra_short|low,small_pairs,"55, 44, 33",BB,ultra_short,low,1,FOLD,100.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0
trash|BB|ultra_short|high,trash,"72o, 83o, 94o",BB,ultra_short,high,1,FOLD,100.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0
weak_aces|BB|ultra_short|high,weak_aces,"A4s, A3s, A2s",BB,ultra_short,high,1,FOLD,100.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0
suited_connectors|BB|short|low,suited_connectors,"98s, 87s, 76s",BB,short,low,1,FOLD,100.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0
premium_pairs|BTN|deep|high,premium_pairs,"AA, KK, QQ",BTN,deep,high,1,RAISE,75.0,25.0,0.0,0.0,0.0,25.0,25.0,25.0
premium_pairs|BB|deep|high,premium_pairs,"AA, KK, QQ",BB,deep,high,1,RAISE,75.0,25.0,0.0,0.0,0.0,25.0,25.0,25.0
premium_aces|BB|very_deep|high,premium_aces,"AKs, AKo, AQs",BB,very_deep,high,1,RAISE,75.0,25.0,0.0,0.0,0.0,25.0,25.0,25.0
premium_aces|BTN|medium|medium,premium_aces,"AKs, AKo, AQs",BTN,medium,medium,1,RAISE,75.0,25.0,0.0,0.0,0.0,25.0,25.0,25.0
premium_aces|BTN|very_deep|low,premium_aces,"AKs, AKo, AQs",BTN,very_deep,low,1,RAISE,75.0,25.0,0.0,0.0,0.0,25.0,25.0,25.0
premium_aces|BTN|deep|medium,premium_aces,"AKs, AKo, AQs",BTN,deep,medium,1,RAISE,75.0,25.0,0.0,0.0,0.0,25.0,25.0,25.0
premium_aces|BTN|deep|high,premium_aces,"AKs, AKo, AQs",BTN,deep,high,1,RAISE,75.0,25.0,0.0,0.0,0.0,25.0,25.0,25.0
premium_pairs|BTN|very_deep|medium,premium_pairs,"AA, KK, QQ",BTN,very_deep,medium,1,RAISE,75.0,25.0,0.0,0.0,0.0,25.0,25.0,25.0
premium_aces|BB|very_deep|medium,premium_aces,"AKs, AKo, AQs",BB,very_deep,medium,1,RAISE,75.0,25.0,0.0,0.0,0.0,25.0,25.0,25.0
premium_aces|BB|medium|high,premium_aces,"AKs, AKo, AQs",BB,medium,high,1,RAISE,75.0,25.0,0.0,0.0,0.0,25.0,25.0,25.0
premium_pairs|BTN|medium|low,premium_pairs,"AA, KK, QQ",BTN,medium,low,1,RAISE,75.0,25.0,0.0,0.0,0.0,25.0,25.0,25.0
premium_pairs|BTN|very_deep|low,premium_pairs,"AA, KK, QQ",BTN,very_deep,low,1,RAISE,75.0,25.0,0.0,0.0,0.0,25.0,25.0,25.0
medium_aces|BTN|ultra_short|low,medium_aces,"ATs, ATo, A9s",BTN,ultra_short,low,2,FOLD,66.67,66.67,0.0,0.0,0.0,16.67,16.67,0.0
premium_pairs|BB|short|low,premium_pairs,"AA, KK, QQ",BB,short,low,2,FOLD,66.67,66.67,0.0,0.0,0.0,16.67,16.67,0.0
small_pairs|BB|ultra_short|medium,small_pairs,"55, 44, 33",BB,ultra_short,medium,2,FOLD,66.67,66.67,0.0,0.0,0.0,16.67,16.67,0.0
offsuit_broadway|BB|short|medium,offsuit_broadway,"KQo, KJo, QJo",BB,short,medium,1,RAISE,66.66,33.33,0.0,0.0,0.0,33.33,33.33,0.0
suited_gappers|BTN|short|medium,suited_gappers,"T8s, 97s, 86s",BTN,short,medium,1,RAISE,66.66,33.33,0.0,0.0,0.0,33.33,33.33,0.0
medium_pairs|BB|medium|low,medium_pairs,"99, 88, 77",BB,medium,low,1,RAISE,66.66,33.33,0.0,0.0,0.0,33.33,33.33,0.0
offsuit_broadway|BTN|deep|high,offsuit_broadway,"KQo, KJo, QJo",BTN,deep,high,1,RAISE,66.66,33.33,0.0,0.0,0.0,33.33,33.33,0.0
medium_aces|BB|short|low,medium_aces,"ATs, ATo, A9s",BB,short,low,1,RAISE,66.66,33.33,0.0,0.0,0.0,33.33,33.33,0.0
medium_pairs|BTN|deep|low,medium_pairs,"99, 88, 77",BTN,deep,low,1,RAISE,66.66,33.33,0.0,0.0,0.0,33.33,33.33,0.0
suited_broadway|BTN|short|low,suited_broadway,"KQs, KJs, QJs",BTN,short,low,1,RAISE,66.66,33.33,0.0,0.0,0.0,33.33,33.33,0.0
medium_pairs|BTN|medium|low,medium_pairs,"99, 88, 77",BTN,medium,low,1,RAISE,66.66,33.33,0.0,0.0,0.0,33.33,33.33,0.0
medium_pairs|BTN|deep|high,medium_pairs,"99, 88, 77",BTN,deep,high,1,RAISE,66.66,33.33,0.0,0.0,0.0,33.33,33.33,0.0
premium_aces|BTN|short|low,premium_aces,"AKs, AKo, AQs",BTN,short,low,1,RAISE,66.66,33.33,0.0,0.0,0.0,33.33,33.33,0.0
premium_pairs|BB|short|high,premium_pairs,"AA, KK, QQ",BB,short,high,1,RAISE,66.66,33.33,0.0,0.0,0.0,33.33,33.33,0.0
suited_connectors|BTN|ultra_short|medium,suited_connectors,"98s, 87s, 76s",BTN,ultra_short,medium,1,RAISE,66.66,33.33,0.0,0.0,0.0,33.33,33.33,0.0
