iteration,time_per_iteration,total_elapsed_time,average_regret,max_regret,unique_scenarios_visited,scenario_coverage_0_10,scenario_coverage_11_25,scenario_coverage_26_50,scenario_coverage_51_100,scenario_coverage_100_plus,total_possible_scenarios,scenario_coverage_percentage,hand_category_offsuit_broadway_visits,hand_category_premium_aces_visits,hand_category_weak_aces_visits,hand_category_medium_pairs_visits,hand_category_suited_gappers_visits,hand_category_trash_visits,hand_category_premium_pairs_visits,hand_category_suited_broadway_visits,hand_category_suited_connectors_visits,hand_category_small_pairs_visits,hand_category_medium_aces_visits
0,0.012722253799438477,0.012722253799438477,0.011956521739130439,0.026086956521739132,1,1,0,0,0,0,330,0.3,1.0,,,,,,,,,,
100,0.454970121383667,0.46769237518310547,0.4097935136190386,7.766666666666666,90,90,0,0,0,0,330,27.27,11.0,10.0,9.0,7.0,10.0,10.0,7.0,10.0,9.0,8.0,10.0
200,0.45820069313049316,0.9258930683135986,0.409737418126615,14.866666666666665,157,157,0,0,0,0,330,47.58,18.0,18.0,18.0,19.0,19.0,18.0,19.0,18.0,19.0,17.0,18.0
300,0.4580361843109131,1.3839292526245117,0.4340039050699082,18.799999999999997,207,207,0,0,0,0,330,62.73,28.0,28.0,27.0,25.0,27.0,28.0,27.0,26.0,29.0,28.0,28.0
400,0.42215490341186523,1.806084156036377,0.4549447921691448,18.799999999999997,240,240,0,0,0,0,330,72.73,39.0,37.0,37.0,38.0,35.0,38.0,35.0,35.0,38.0,34.0,35.0
500,0.41930294036865234,2.2253870964050293,0.5287949279609623,18.799999999999997,264,264,0,0,0,0,330,80.0,46.0,47.0,46.0,44.0,46.0,45.0,46.0,47.0,47.0,44.0,43.0
600,0.49341845512390137,2.7188055515289307,0.584204717893943,18.799999999999997,279,279,0,0,0,0,330,84.55,55.0,56.0,55.0,53.0,54.0,56.0,56.0,55.0,55.0,53.0,53.0
700,0.4843454360961914,3.203150987625122,0.6404143039681415,19.799999999999997,292,292,0,0,0,0,330,88.48,63.0,62.0,64.0,66.0,65.0,63.0,64.0,63.0,63.0,64.0,64.0
800,0.520172119140625,3.723323106765747,0.7139060333891286,19.799999999999997,303,303,0,0,0,0,330,91.82,73.0,73.0,72.0,72.0,74.0,74.0,71.0,73.0,74.0,72.0,73.0
900,0.4627513885498047,4.186074495315552,0.7609735644062262,19.799999999999997,310,310,0,0,0,0,330,93.94,81.0,83.0,81.0,82.0,83.0,81.0,82.0,80.0,83.0,83.0,82.0
1000,0.4775989055633545,4.663673400878906,0.7792938307986262,21.9,319,319,0,0,0,0,330,96.67,91.0,92.0,92.0,93.0,91.0,87.0,92.0,93.0,91.0,89.0,90.0
1100,0.45020508766174316,5.113878488540649,0.8225236282556413,22.424999999999997,322,322,0,0,0,0,330,97.58,103.0,100.0,100.0,100.0,100.0,101.0,99.0,101.0,100.0,98.0,99.0
1200,0.47307252883911133,5.586951017379761,0.8662389253955041,22.5,324,324,0,0,0,0,330,98.18,110.0,110.0,108.0,111.0,109.0,108.0,109.0,109.0,111.0,106.0,110.0
1300,0.4495205879211426,6.036471605300903,0.897376899294239,22.5,325,325,0,0,0,0,330,98.48,119.0,119.0,120.0,118.0,118.0,117.0,118.0,119.0,119.0,117.0,117.0
1400,0.4598064422607422,6.4962780475616455,0.9624576943315751,22.5,325,325,0,0,0,0,330,98.48,127.0,129.0,128.0,125.0,127.0,127.0,128.0,127.0,129.0,126.0,128.0
1500,0.4548795223236084,6.951157569885254,1.012759709781325,22.5,325,325,0,0,0,0,330,98.48,138.0,138.0,134.0,138.0,136.0,136.0,136.0,136.0,137.0,135.0,137.0
1600,0.43653082847595215,7.387688398361206,1.0664592691216574,29.1,326,324,2,0,0,0,330,98.79,146.0,147.0,146.0,147.0,146.0,146.0,146.0,144.0,143.0,146.0,144.0
1700,0.44471073150634766,7.832399129867554,1.0956453325933653,29.1,328,326,2,0,0,0,330,99.39,156.0,155.0,154.0,156.0,156.0,154.0,154.0,152.0,155.0,155.0,154.0
1800,0.4648008346557617,8.297199964523315,1.1369707864457896,29.1,328,324,4,0,0,0,330,99.39,165.0,164.0,165.0,165.0,164.0,162.0,164.0,164.0,162.0,162.0,164.0
1900,0.44308042526245117,8.740280389785767,1.161400062139829,24.599999999999998,328,323,5,0,0,0,330,99.39,174.0,174.0,172.0,174.0,174.0,170.0,173.0,173.0,173.0,171.0,173.0
2000,0.4320085048675537,9.17228889465332,1.2199526349265606,32.875,329,321,8,0,0,0,330,99.7,182.0,182.0,182.0,182.0,181.0,184.0,182.0,180.0,182.0,181.0,183.0
2100,0.4641695022583008,9.636458396911621,1.2656881119787962,32.875,329,318,11,0,0,0,330,99.7,191.0,190.0,194.0,193.0,189.0,192.0,190.0,190.0,192.0,189.0,191.0
2200,0.44058847427368164,10.077046871185303,1.2929760460645876,32.875,330,315,15,0,0,0,330,100.0,200.0,200.0,200.0,200.0,200.0,201.0,200.0,200.0,200.0,201.0,199.0
2300,0.4959092140197754,10.572956085205078,1.335522641667417,36.375,330,311,19,0,0,0,330,100.0,211.0,209.0,207.0,209.0,210.0,209.0,209.0,210.0,210.0,211.0,206.0
2400,0.478118896484375,11.051074981689453,1.404245675857232,36.375,330,301,29,0,0,0,330,100.0,218.0,217.0,218.0,217.0,216.0,220.0,219.0,219.0,219.0,220.0,218.0
2500,0.4584009647369385,11.509475946426392,1.4203225211602213,36.375,330,287,43,0,0,0,330,100.0,228.0,226.0,227.0,228.0,226.0,229.0,228.0,227.0,228.0,228.0,226.0
2600,0.4891822338104248,11.998658180236816,1.4746067942127434,36.375,330,271,59,0,0,0,330,100.0,236.0,236.0,237.0,238.0,237.0,238.0,233.0,235.0,236.0,238.0,237.0
2700,0.4875643253326416,12.486222505569458,1.520932313242519,36.375,330,261,69,0,0,0,330,100.0,244.0,246.0,246.0,245.0,247.0,245.0,247.0,246.0,246.0,245.0,244.0
2800,0.4429950714111328,12.92921757698059,1.5644532158526068,39.85,330,254,76,0,0,0,330,100.0,255.0,255.0,255.0,255.0,256.0,254.0,253.0,256.0,253.0,253.0,256.0
2900,0.44254159927368164,13.371759176254272,1.613298268540968,40.45,330,241,89,0,0,0,330,100.0,264.0,262.0,263.0,264.0,263.0,265.0,264.0,264.0,265.0,263.0,264.0
3000,0.429718017578125,13.801477193832397,1.6309217507648024,40.45,330,230,100,0,0,0,330,100.0,273.0,273.0,274.0,273.0,273.0,272.0,273.0,273.0,272.0,274.0,271.0
3100,0.4486973285675049,14.250174522399902,1.6617683707734752,40.45,330,218,112,0,0,0,330,100.0,281.0,281.0,282.0,280.0,283.0,282.0,283.0,282.0,283.0,283.0,281.0
3200,0.4673118591308594,14.717486381530762,1.707029963583286,40.45,330,201,129,0,0,0,330,100.0,292.0,290.0,290.0,291.0,290.0,292.0,291.0,291.0,292.0,292.0,290.0
3300,0.4421348571777344,15.159621238708496,1.7689291062346448,40.45,330,187,143,0,0,0,330,100.0,300.0,300.0,299.0,301.0,299.0,300.0,300.0,300.0,301.0,300.0,301.0
3400,0.5120851993560791,15.671706438064575,1.808385354701666,40.45,330,171,159,0,0,0,330,100.0,310.0,310.0,307.0,310.0,309.0,310.0,311.0,309.0,308.0,309.0,308.0
3500,0.44997692108154297,16.121683359146118,1.8570968818223854,41.050000000000004,330,162,168,0,0,0,330,100.0,318.0,319.0,318.0,316.0,320.0,317.0,319.0,318.0,318.0,320.0,318.0
3600,0.4219539165496826,16.5436372756958,1.8851219241764474,41.050000000000004,330,146,184,0,0,0,330,100.0,328.0,328.0,328.0,327.0,328.0,327.0,327.0,328.0,327.0,326.0,327.0
3700,0.4222080707550049,16.965845346450806,1.9024046330625242,48.62500000000001,330,135,195,0,0,0,330,100.0,337.0,335.0,337.0,336.0,337.0,336.0,336.0,337.0,337.0,337.0,336.0
3800,0.45892834663391113,17.424773693084717,1.9414595563226396,48.62500000000001,330,124,206,0,0,0,330,100.0,344.0,346.0,346.0,346.0,346.0,345.0,344.0,344.0,347.0,347.0,346.0
3900,0.4599013328552246,17.88467502593994,1.9801457597315124,62.57500000000001,330,116,214,0,0,0,330,100.0,354.0,353.0,355.0,355.0,356.0,355.0,354.0,353.0,356.0,353.0,357.0
4000,0.43918919563293457,18.323864221572876,1.995177610079302,62.57500000000001,330,104,226,0,0,0,330,100.0,365.0,362.0,363.0,364.0,364.0,363.0,364.0,365.0,364.0,364.0,363.0
4100,0.4348289966583252,18.7586932182312,2.0463583863659207,57.87500000000001,330,96,234,0,0,0,330,100.0,372.0,372.0,372.0,373.0,373.0,373.0,373.0,373.0,373.0,374.0,373.0
4200,0.43146848678588867,19.19016170501709,2.084043781748723,57.87500000000001,330,90,240,0,0,0,330,100.0,380.0,382.0,383.0,383.0,382.0,382.0,382.0,380.0,382.0,382.0,383.0
4300,0.4950563907623291,19.68521809577942,2.0976818708312073,57.87500000000001,330,81,249,0,0,0,330,100.0,392.0,390.0,392.0,391.0,392.0,390.0,390.0,390.0,391.0,392.0,391.0
4400,0.47862744331359863,20.163845539093018,2.149032664663334,57.87500000000001,330,77,253,0,0,0,330,100.0,400.0,401.0,400.0,399.0,401.0,400.0,400.0,399.0,400.0,401.0,400.0
4500,0.48919200897216797,20.653037548065186,2.183030438088695,57.87500000000001,330,67,263,0,0,0,330,100.0,411.0,409.0,409.0,407.0,411.0,410.0,409.0,409.0,410.0,410.0,406.0
