scenario_key,hand_category,example_hands,position,stack_depth,blinds_level,training_games,actions_pruned_count,best_action,confidence,fold_prob,call_small_prob,call_mid_prob,call_high_prob,raise_small_prob,raise_mid_prob,raise_high_prob
trash|BTN|ultra_short|low,trash,"72o, 83o, 94o",BTN,ultra_short,low,0,0,FOLD,0.704,0.704,0.213,0.0,0.0,0.083,0.0,0.0
trash|BTN|short|high,trash,"72o, 83o, 94o",BTN,short,high,0,0,CALL_SMALL,0.667,0.167,0.667,0.0,0.0,0.167,0.0,0.0
trash|BB|short|low,trash,"72o, 83o, 94o",BB,short,low,0,2,FOLD,0.667,0.667,0.167,0.0,0.0,0.167,0.0,0.0
trash|BTN|short|medium,trash,"72o, 83o, 94o",BTN,short,medium,0,0,FOLD,0.667,0.667,0.167,0.0,0.0,0.167,0.0,0.0
trash|BB|short|medium,trash,"72o, 83o, 94o",BB,short,medium,0,0,CALL_SMALL,0.6,0.1,0.6,0.1,0.0,0.1,0.1,0.0
trash|BTN|deep|low,trash,"72o, 83o, 94o",BTN,deep,low,0,0,RAISE_HIGH,0.599,0.014,0.046,0.02,0.01,0.176,0.135,0.599
trash|BTN|very_deep|high,trash,"72o, 83o, 94o",BTN,very_deep,high,0,0,FOLD,0.572,0.572,0.268,0.063,0.015,0.042,0.015,0.026
trash|BB|medium|high,trash,"72o, 83o, 94o",BB,medium,high,0,0,CALL_SMALL,0.554,0.05,0.554,0.133,0.0,0.064,0.078,0.121
trash|BB|ultra_short|low,trash,"72o, 83o, 94o",BB,ultra_short,low,0,0,FOLD,0.551,0.551,0.283,0.0,0.0,0.167,0.0,0.0
trash|BTN|ultra_short|high,trash,"72o, 83o, 94o",BTN,ultra_short,high,0,0,FOLD,0.55,0.55,0.283,0.0,0.0,0.167,0.0,0.0
trash|BB|deep|low,trash,"72o, 83o, 94o",BB,deep,low,0,0,FOLD,0.526,0.526,0.205,0.056,0.028,0.062,0.062,0.062
trash|BTN|medium|low,trash,"72o, 83o, 94o",BTN,medium,low,0,0,FOLD,0.519,0.519,0.01,0.046,0.012,0.17,0.109,0.134
trash|BB|deep|high,trash,"72o, 83o, 94o",BB,deep,high,0,0,FOLD,0.51,0.51,0.324,0.051,0.033,0.014,0.014,0.053
trash|BTN|medium|medium,trash,"72o, 83o, 94o",BTN,medium,medium,0,0,RAISE_MID,0.494,0.018,0.018,0.045,0.0,0.251,0.494,0.173
trash|BTN|very_deep|medium,trash,"72o, 83o, 94o",BTN,very_deep,medium,0,0,RAISE_HIGH,0.481,0.074,0.102,0.046,0.023,0.084,0.19,0.481
trash|BTN|deep|medium,trash,"72o, 83o, 94o",BTN,deep,medium,0,0,CALL_SMALL,0.469,0.225,0.469,0.047,0.024,0.201,0.017,0.017
trash|BTN|deep|high,trash,"72o, 83o, 94o",BTN,deep,high,0,0,RAISE_SMALL,0.461,0.143,0.054,0.025,0.016,0.461,0.107,0.194
trash|BB|deep|medium,trash,"72o, 83o, 94o",BB,deep,medium,0,0,RAISE_MID,0.454,0.018,0.08,0.06,0.039,0.037,0.454,0.312
trash|BB|very_deep|high,trash,"72o, 83o, 94o",BB,very_deep,high,0,0,RAISE_MID,0.445,0.184,0.116,0.02,0.013,0.18,0.445,0.041
trash|BTN|short|low,trash,"72o, 83o, 94o",BTN,short,low,0,0,CALL_SMALL,0.422,0.256,0.422,0.033,0.0,0.256,0.033,0.0
trash|BTN|medium|high,trash,"72o, 83o, 94o",BTN,medium,high,0,0,RAISE_MID,0.422,0.036,0.036,0.036,0.036,0.052,0.422,0.383
trash|BB|medium|low,trash,"72o, 83o, 94o",BB,medium,low,0,1,FOLD,0.402,0.402,0.183,0.0,0.0,0.305,0.06,0.05
trash|BB|very_deep|low,trash,"72o, 83o, 94o",BB,very_deep,low,0,0,RAISE_HIGH,0.392,0.231,0.085,0.03,0.015,0.091,0.155,0.392
trash|BB|very_deep|medium,trash,"72o, 83o, 94o",BB,very_deep,medium,0,0,RAISE_SMALL,0.374,0.178,0.01,0.01,0.005,0.374,0.2,0.223
trash|BTN|very_deep|low,trash,"72o, 83o, 94o",BTN,very_deep,low,0,2,RAISE_HIGH,0.371,0.351,0.013,0.0,0.0,0.249,0.016,0.371
trash|BTN|ultra_short|medium,trash,"72o, 83o, 94o",BTN,ultra_short,medium,0,0,FOLD,0.333,0.333,0.333,0.0,0.0,0.333,0.0,0.0
trash|BB|short|high,trash,"72o, 83o, 94o",BB,short,high,0,0,FOLD,0.333,0.333,0.333,0.0,0.0,0.333,0.0,0.0
trash|BB|ultra_short|medium,trash,"72o, 83o, 94o",BB,ultra_short,medium,0,0,FOLD,0.333,0.333,0.333,0.0,0.0,0.333,0.0,0.0
trash|BB|medium|medium,trash,"72o, 83o, 94o",BB,medium,medium,0,0,FOLD,0.267,0.267,0.267,0.0,0.0,0.267,0.1,0.1
