scenario_key,hand_category,example_hands,position,stack_depth,blinds_level,training_games,actions_pruned_count,best_action,confidence,fold_prob,call_small_prob,call_mid_prob,call_high_prob,raise_small_prob,raise_mid_prob,raise_high_prob
trash|BB|medium|high,trash,"72o, 83o, 94o",BB,medium,high,0,0,FOLD,0.625,0.625,0.125,0.0,0.0,0.125,0.125,0.0
trash|BB|very_deep|low,trash,"72o, 83o, 94o",BB,very_deep,low,0,2,RAISE_HIGH,0.5,0.1,0.1,0.0,0.0,0.2,0.1,0.5
trash|BTN|very_deep|medium,trash,"72o, 83o, 94o",BTN,very_deep,medium,0,0,RAISE_HIGH,0.429,0.048,0.048,0.048,0.048,0.143,0.238,0.429
trash|BTN|deep|high,trash,"72o, 83o, 94o",BTN,deep,high,0,0,FOLD,0.333,0.333,0.333,0.0,0.0,0.333,0.0,0.0
trash|BTN|very_deep|low,trash,"72o, 83o, 94o",BTN,very_deep,low,0,0,FOLD,0.2,0.2,0.2,0.0,0.0,0.2,0.2,0.2
trash|BB|deep|high,trash,"72o, 83o, 94o",BB,deep,high,0,0,FOLD,0.2,0.2,0.2,0.0,0.0,0.2,0.2,0.2
trash|BB|deep|medium,trash,"72o, 83o, 94o",BB,deep,medium,0,0,FOLD,0.2,0.2,0.2,0.0,0.0,0.2,0.2,0.2
trash|BTN|very_deep|high,trash,"72o, 83o, 94o",BTN,very_deep,high,0,0,FOLD,0.2,0.2,0.2,0.0,0.0,0.2,0.2,0.2
trash|BB|very_deep|medium,trash,"72o, 83o, 94o",BB,very_deep,medium,0,0,FOLD,0.2,0.2,0.2,0.0,0.0,0.2,0.2,0.2
trash|BB|medium|low,trash,"72o, 83o, 94o",BB,medium,low,0,0,FOLD,0.143,0.143,0.143,0.143,0.143,0.143,0.143,0.143
trash|BB|very_deep|high,trash,"72o, 83o, 94o",BB,very_deep,high,0,0,FOLD,0.143,0.143,0.143,0.143,0.143,0.143,0.143,0.143
trash|BTN|deep|medium,trash,"72o, 83o, 94o",BTN,deep,medium,0,0,FOLD,0.143,0.143,0.143,0.143,0.143,0.143,0.143,0.143
