scenario_key,hand_category,position,stack_category,primary_action,confidence,total_games,workers_trained,fold_prob,call_small_prob,call_large_prob,raise_small_prob,raise_large_prob,all_in_prob
premium_aces_BB_very_deep_tiny_early,premium,aces,BB,raise_small,0.573,6,4,0.042,0.042,0.0,0.573,0.344,0.0
premium_aces_BTN_ultra_short_no_bet_middle,premium,aces,BTN,fold,0.2,4,4,0.2,0.0,0.0,0.0,0.0,0.2
medium_aces_BB_short_huge_bubble,medium,aces,BB,all_in,0.65,7,4,0.218,0.0,0.132,0.0,0.0,0.65
small_pairs_BB_medium_tiny_early,small,pairs,BB,raise_small,0.806,5,4,0.05,0.05,0.0,0.806,0.094,0.0
medium_aces_BTN_medium_small_late,medium,aces,BTN,fold,0.768,6,4,0.768,0.114,0.0,0.059,0.059,0.0
medium_aces_BB_short_tiny_middle,medium,aces,BB,call_small,0.762,6,4,0.033,0.762,0.0,0.057,0.057,0.091
suited_broadway_BB_medium_small_bubble,suited,broadway,BB,raise_small,0.481,6,4,0.042,0.042,0.0,0.481,0.435,0.0
medium_aces_BTN_deep_tiny_middle,medium,aces,BTN,call_small,0.425,4,4,0.208,0.425,0.0,0.125,0.242,0.0
premium_aces_BTN_deep_tiny_middle,premium,aces,BTN,raise_large,0.518,5,4,0.05,0.05,0.0,0.382,0.518,0.0
small_pairs_BB_very_deep_tiny_early,small,pairs,BB,raise_small,0.648,7,4,0.036,0.036,0.0,0.648,0.281,0.0
premium_aces_BTN_ultra_short_large_late,premium,aces,BTN,all_in,0.867,5,4,0.067,0.0,0.067,0.0,0.0,0.867
medium_aces_BB_medium_tiny_middle,medium,aces,BB,call_small,0.539,7,4,0.036,0.539,0.0,0.251,0.174,0.0
premium_aces_BB_very_deep_tiny_middle,premium,aces,BB,raise_large,0.453,7,4,0.071,0.143,0.0,0.333,0.453,0.0
suited_broadway_BB_short_tiny_late,suited,broadway,BB,raise_small,0.323,6,4,0.033,0.033,0.0,0.323,0.304,0.307
small_pairs_BB_deep_tiny_late,small,pairs,BB,raise_small,0.625,2,4,0.125,0.125,0.0,0.625,0.125,0.0
premium_aces_BTN_deep_no_bet_late,premium,aces,BTN,fold,0.25,3,4,0.25,0.0,0.0,0.0,0.0,0.0
suited_broadway_BTN_ultra_short_no_bet_early,suited,broadway,BTN,all_in,0.733,6,4,0.067,0.0,0.0,0.0,0.0,0.733
premium_aces_BTN_short_tiny_late,premium,aces,BTN,raise_large,0.338,7,4,0.029,0.029,0.0,0.304,0.338,0.302
medium_aces_BB_ultra_short_huge_bubble,medium,aces,BB,fold,0.333,4,4,0.333,0.0,0.333,0.0,0.0,0.333
suited_broadway_BB_medium_small_late,suited,broadway,BB,raise_large,0.526,9,4,0.028,0.028,0.0,0.419,0.526,0.0
medium_aces_BB_deep_tiny_middle,medium,aces,BB,raise_small,0.625,2,4,0.125,0.125,0.0,0.625,0.125,0.0
medium_aces_BTN_very_deep_no_bet_middle,medium,aces,BTN,fold,0.25,4,4,0.25,0.0,0.0,0.0,0.0,0.0
medium_aces_BTN_medium_no_bet_early,medium,aces,BTN,fold,0.25,2,4,0.25,0.0,0.0,0.0,0.0,0.0
premium_aces_BB_ultra_short_large_early,premium,aces,BB,fold,0.581,2,4,0.581,0.0,0.252,0.0,0.0,0.167
premium_aces_BB_medium_tiny_late,premium,aces,BB,raise_small,0.504,3,4,0.083,0.083,0.0,0.504,0.329,0.0
suited_connectors_BB_medium_small_middle,suited,connectors,BB,fold,0.334,4,4,0.334,0.254,0.0,0.225,0.188,0.0
