iteration,time_per_iteration,total_elapsed_time,average_regret,max_regret,unique_scenarios_visited,scenario_coverage_0_10,scenario_coverage_11_25,scenario_coverage_26_50,scenario_coverage_51_100,scenario_coverage_100_plus,total_possible_scenarios,scenario_coverage_percentage,hand_category_offsuit_broadway_visits,hand_category_premium_aces_visits,hand_category_suited_gappers_visits,hand_category_medium_pairs_visits,hand_category_suited_connectors_visits,hand_category_medium_aces_visits,hand_category_suited_broadway_visits,hand_category_weak_aces_visits,hand_category_premium_pairs_visits,hand_category_small_pairs_visits,hand_category_trash_visits
10,2.1858043670654297,2.1858043670654297,0.11005257628298643,1.1,10,10,0,0,0,0,220,4.55,1,1,1,1,1,1,1,1,1,1,
20,2.1831209659576416,4.368925333023071,0.10283351178160334,1.1,19,19,0,0,0,0,220,8.64,2,2,1,2,2,2,2,2,2,1,2.0
30,2.141969680786133,6.510895013809204,0.1319058461777659,2.75,29,29,0,0,0,0,220,13.18,3,3,3,3,2,2,3,2,3,3,3.0
40,2.1358349323272705,8.646729946136475,0.12685474625289528,2.75,39,39,0,0,0,0,220,17.73,4,4,4,4,3,3,3,4,3,4,4.0
50,2.1579856872558594,10.804715633392334,0.13692545159453884,2.75,45,45,0,0,0,0,220,20.45,5,4,5,4,5,5,4,5,4,5,4.0
60,2.17421817779541,12.978933811187744,0.130336993631745,2.75,52,52,0,0,0,0,220,23.64,5,5,6,5,5,6,6,6,5,5,6.0
70,2.193491220474243,15.172425031661987,0.14188342189676406,2.75,58,58,0,0,0,0,220,26.36,6,6,6,6,7,7,7,6,6,7,6.0
80,2.18741512298584,17.359840154647827,0.17085322994348665,2.7833333333333337,64,64,0,0,0,0,220,29.09,7,7,7,8,7,7,8,7,8,7,7.0
90,2.1853435039520264,19.545183658599854,0.1752560563728341,2.7833333333333337,67,67,0,0,0,0,220,30.45,8,8,8,8,9,9,8,8,8,8,8.0
100,2.195154905319214,21.740338563919067,0.17282670477413853,2.7833333333333337,72,72,0,0,0,0,220,32.73,9,9,9,9,9,9,9,9,10,9,9.0
110,2.2313597202301025,23.97169828414917,0.17420803064018447,2.7833333333333337,79,79,0,0,0,0,220,35.91,10,10,10,10,10,10,10,10,10,10,10.0
120,2.2046215534210205,26.17631983757019,0.17349747440050983,2.7833333333333337,86,86,0,0,0,0,220,39.09,11,11,11,11,11,11,11,11,11,11,10.0
130,2.2135097980499268,28.389829635620117,0.17365585523498814,2.841666666666667,89,89,0,0,0,0,220,40.45,12,12,12,11,12,12,12,12,12,11,12.0
140,2.2171552181243896,30.606984853744507,0.1789143464610553,2.841666666666667,94,94,0,0,0,0,220,42.73,13,12,13,13,12,12,13,13,13,13,13.0
150,2.21490216255188,32.82188701629639,0.1751902683882014,2.841666666666667,100,100,0,0,0,0,220,45.45,13,14,14,14,13,14,14,14,14,13,13.0
160,2.1994030475616455,35.02129006385803,0.18260461669891095,5.306410256410256,104,104,0,0,0,0,220,47.27,15,14,14,15,14,15,15,14,15,15,14.0
170,2.222874164581299,37.24416422843933,0.19248107328010805,5.306410256410256,106,106,0,0,0,0,220,48.18,16,15,15,15,16,16,16,15,16,15,15.0
180,2.217027187347412,39.46119141578674,0.1919575766466648,5.306410256410256,111,111,0,0,0,0,220,50.45,16,17,16,16,16,16,16,17,16,17,17.0
190,2.2398056983947754,41.70099711418152,0.20541325595194637,5.306410256410256,112,112,0,0,0,0,220,50.91,18,17,17,17,18,17,17,17,17,17,18.0
200,2.2416844367980957,43.942681550979614,0.20276889126585765,6.031410256410256,116,116,0,0,0,0,220,52.73,19,18,18,18,19,18,18,18,18,18,18.0
210,2.2737581729888916,46.216439723968506,0.1981524586944928,6.031410256410256,120,120,0,0,0,0,220,54.55,19,19,19,19,20,19,19,19,19,19,19.0
220,2.252089262008667,48.46852898597717,0.19642406973546772,6.031410256410256,124,124,0,0,0,0,220,56.36,20,20,20,20,20,20,20,20,20,20,20.0
230,2.2492661476135254,50.7177951335907,0.19941321798062855,6.031410256410256,126,126,0,0,0,0,220,57.27,21,21,20,21,21,21,21,21,21,21,21.0
240,2.257201910018921,52.97499704360962,0.2013041570637432,6.031410256410256,130,130,0,0,0,0,220,59.09,22,21,22,22,22,22,22,22,21,22,22.0
250,2.233612298965454,55.20860934257507,0.20313262872166815,6.031410256410256,133,133,0,0,0,0,220,60.45,23,23,23,23,23,22,22,23,23,23,22.0
260,2.2685623168945312,57.477171659469604,0.20639834455641123,6.031410256410256,134,134,0,0,0,0,220,60.91,24,24,24,23,23,23,24,23,24,24,24.0
270,2.253535509109497,59.7307071685791,0.2138599287566865,6.031410256410256,134,134,0,0,0,0,220,60.91,25,24,25,25,24,24,25,25,24,24,25.0
280,2.246117353439331,61.97682452201843,0.22004690742456326,6.031410256410256,135,135,0,0,0,0,220,61.36,25,26,26,25,26,26,26,25,25,25,25.0
290,2.218461513519287,64.19528603553772,0.22707779505098113,6.031410256410256,137,137,0,0,0,0,220,62.27,26,26,27,27,26,26,27,26,26,26,27.0
300,2.21956467628479,66.41485071182251,0.23010604798393128,6.031410256410256,139,139,0,0,0,0,220,63.18,28,27,27,27,27,27,28,27,27,27,28.0
310,2.304403066635132,68.71925377845764,0.22884299906270836,6.031410256410256,141,141,0,0,0,0,220,64.09,28,28,28,28,28,28,29,29,28,28,28.0
320,2.263223648071289,70.98247742652893,0.22751960328760648,6.031410256410256,144,144,0,0,0,0,220,65.45,29,29,30,29,29,29,29,29,29,29,29.0
330,2.299745559692383,73.28222298622131,0.23553438132584156,6.031410256410256,146,146,0,0,0,0,220,66.36,30,30,30,30,30,30,30,30,30,30,30.0
340,2.255643844604492,75.5378668308258,0.24102066658582844,6.031410256410256,147,147,0,0,0,0,220,66.82,31,31,31,31,31,31,31,30,31,31,31.0
350,2.2799203395843506,77.81778717041016,0.2467826918526206,7.0625,147,147,0,0,0,0,220,66.82,32,32,31,32,32,31,32,32,32,32,32.0
360,2.2913777828216553,80.10916495323181,0.25330158002914266,7.0625,148,148,0,0,0,0,220,67.27,33,32,33,33,33,33,33,33,32,32,33.0
370,2.2930426597595215,82.40220761299133,0.26372296292492475,7.0625,149,149,0,0,0,0,220,67.73,34,34,34,33,34,33,34,34,34,33,33.0
380,2.2625315189361572,84.66473913192749,0.2700991752423638,8.225160256410255,149,149,0,0,0,0,220,67.73,34,35,34,35,35,34,35,35,35,34,34.0
390,2.2857940196990967,86.95053315162659,0.27743467179471476,8.225160256410255,149,149,0,0,0,0,220,67.73,35,35,36,36,36,35,36,35,36,35,35.0
400,2.29809308052063,89.24862623214722,0.28380441581714067,8.225160256410255,149,149,0,0,0,0,220,67.73,37,36,37,36,36,36,37,36,36,36,37.0
410,2.2750918865203857,91.5237181186676,0.2833858104625541,8.225160256410255,149,149,0,0,0,0,220,67.73,37,38,37,37,38,38,37,37,37,37,37.0
