hand_category,position,stack_depth,blinds_level,villain_stack_category,opponent_action,is_3bet,action_history,final_pot_bb,hero_payoff,hero_won,showdown,hero_cards,villain_cards,timestamp,scenario_key
trash,BTN,deep,medium,medium,call_small,False,"[{'actor': 'hero', 'action': 'raise_mid', 'is_hero': True}, {'actor': 'villain', 'action': 'call_small', 'is_hero': False}]",9.7,4.85,True,True,[7♣] [2♦],[Q♣] [A♦],2025-08-11T17:30:07.843833,trash|BTN|deep|medium
trash,BTN,medium,low,very_deep,raise_small,True,"[{'actor': 'hero', 'action': 'raise_mid', 'is_hero': True}, {'actor': 'villain', 'action': 'raise_small', 'is_hero': False}, {'actor': 'hero', 'action': 'fold', 'is_hero': True}]",21.0,-10.5,False,False,[2♦] [6♥],[6♣] [K♠],2025-08-11T17:30:07.844687,trash|BTN|medium|low
trash,BB,deep,high,deep,call_mid,False,"[{'actor': 'villain', 'action': 'call_small', 'is_hero': False}, {'actor': 'hero', 'action': 'raise_mid', 'is_hero': True}, {'actor': 'villain', 'action': 'call_mid', 'is_hero': False}]",40.790000000000006,20.395000000000003,True,True,[2♥] [J♦],[Q♠] [3♣],2025-08-11T17:30:08.289894,trash|BB|deep|high
trash,BB,medium,medium,medium,raise_small,False,"[{'actor': 'villain', 'action': 'raise_small', 'is_hero': False}, {'actor': 'hero', 'action': 'call_small', 'is_hero': True}]",9.65,4.825,True,True,[T♥] [5♥],[8♣] [Q♥],2025-08-11T17:30:08.727373,trash|BB|medium|medium
trash,BB,medium,low,very_deep,call_small,True,"[{'actor': 'villain', 'action': 'raise_high', 'is_hero': False}, {'actor': 'hero', 'action': 'raise_mid', 'is_hero': True}, {'actor': 'villain', 'action': 'call_small', 'is_hero': False}]",44.5,-22.25,False,True,[8♦] [J♠],[4♥] [5♠],2025-08-11T17:30:09.163133,trash|BB|medium|low
trash,BTN,deep,medium,very_deep,fold,False,"[{'actor': 'hero', 'action': 'raise_high', 'is_hero': True}, {'actor': 'villain', 'action': 'fold', 'is_hero': False}]",7.5,3.75,True,False,[4♦] [2♥],[Q♠] [6♣],2025-08-11T17:30:09.163862,trash|BTN|deep|medium
trash,BTN,very_deep,low,deep,call_mid,False,"[{'actor': 'hero', 'action': 'raise_high', 'is_hero': True}, {'actor': 'villain', 'action': 'call_mid', 'is_hero': False}]",13.5,6.75,True,True,[9♣] [T♠],[8♣] [3♥],2025-08-11T17:30:09.596691,trash|BTN|very_deep|low
trash,BTN,very_deep,medium,very_deep,raise_high,True,"[{'actor': 'hero', 'action': 'raise_high', 'is_hero': True}, {'actor': 'villain', 'action': 'raise_high', 'is_hero': False}, {'actor': 'hero', 'action': 'fold', 'is_hero': True}]",37.5,-18.75,False,False,[Q♦] [4♠],[7♠] [3♥],2025-08-11T17:30:09.597513,trash|BTN|very_deep|medium
trash,BTN,short,high,deep,call_high,False,"[{'actor': 'hero', 'action': 'raise_small', 'is_hero': True}, {'actor': 'villain', 'action': 'call_high', 'is_hero': False}]",13.950000000000001,6.9750000000000005,True,True,[9♦] [A♣],[6♦] [T♣],2025-08-11T17:30:10.022052,trash|BTN|short|high
trash,BB,very_deep,medium,ultra_short,fold,False,"[{'actor': 'villain', 'action': 'fold', 'is_hero': False}]",1.5,0.75,True,False,[7♠] [A♥],[3♦] [Q♠],2025-08-11T17:30:10.022852,trash|BB|very_deep|medium
trash,BTN,very_deep,low,very_deep,call_mid,False,"[{'actor': 'hero', 'action': 'raise_small', 'is_hero': True}, {'actor': 'villain', 'action': 'call_mid', 'is_hero': False}]",19.75,-9.875,False,True,[J♣] [K♣],[Q♦] [4♥],2025-08-11T17:30:10.454604,trash|BTN|very_deep|low
trash,BTN,short,low,deep,raise_small,True,"[{'actor': 'hero', 'action': 'call_small', 'is_hero': True}, {'actor': 'villain', 'action': 'raise_small', 'is_hero': False}, {'actor': 'hero', 'action': 'raise_mid', 'is_hero': True}, {'actor': 'villain', 'action': 'raise_small', 'is_hero': False}]",97.125,48.5625,True,True,[Q♦] [J♦],[6♣] [Q♣],2025-08-11T17:30:10.882340,trash|BTN|short|low
trash,BTN,very_deep,low,deep,unknown,False,"[{'actor': 'hero', 'action': 'fold', 'is_hero': True}]",1.5,-0.75,False,False,[9♣] [6♣],[6♠] [T♠],2025-08-11T17:30:10.883171,trash|BTN|very_deep|low
trash,BB,medium,high,very_deep,fold,False,"[{'actor': 'villain', 'action': 'fold', 'is_hero': False}]",1.5,0.75,True,False,[3♠] [5♦],[2♥] [8♦],2025-08-11T17:30:10.883822,trash|BB|medium|high
trash,BB,very_deep,high,very_deep,raise_mid,True,"[{'actor': 'villain', 'action': 'call_small', 'is_hero': False}, {'actor': 'hero', 'action': 'raise_small', 'is_hero': True}, {'actor': 'villain', 'action': 'raise_mid', 'is_hero': False}, {'actor': 'hero', 'action': 'raise_mid', 'is_hero': True}]",309.5,-154.75,False,True,[A♣] [K♣],[2♣] [9♦],2025-08-11T17:30:11.303867,trash|BB|very_deep|high
trash,BTN,deep,low,deep,fold,False,"[{'actor': 'hero', 'action': 'raise_high', 'is_hero': True}, {'actor': 'villain', 'action': 'fold', 'is_hero': False}]",7.5,3.75,True,False,[7♠] [J♥],[K♥] [3♣],2025-08-11T17:30:11.304726,trash|BTN|deep|low
trash,BB,very_deep,low,very_deep,raise_mid,False,"[{'actor': 'villain', 'action': 'raise_mid', 'is_hero': False}, {'actor': 'hero', 'action': 'call_small', 'is_hero': True}]",19.200000000000003,-9.600000000000001,False,True,[8♦] [4♣],[T♠] [4♥],2025-08-11T17:30:11.723372,trash|BB|very_deep|low
trash,BTN,very_deep,medium,very_deep,unknown,False,"[{'actor': 'hero', 'action': 'fold', 'is_hero': True}]",1.5,-0.75,False,False,[J♦] [T♠],[A♥] [7♣],2025-08-11T17:30:11.724178,trash|BTN|very_deep|medium
trash,BTN,deep,medium,very_deep,call_mid,False,"[{'actor': 'hero', 'action': 'raise_mid', 'is_hero': True}, {'actor': 'villain', 'action': 'call_mid', 'is_hero': False}]",17.200000000000003,-8.600000000000001,False,True,[A♥] [8♦],[Q♣] [5♠],2025-08-11T17:30:12.147291,trash|BTN|deep|medium
trash,BB,very_deep,high,deep,raise_high,True,"[{'actor': 'villain', 'action': 'raise_high', 'is_hero': False}, {'actor': 'hero', 'action': 'raise_mid', 'is_hero': True}, {'actor': 'villain', 'action': 'raise_high', 'is_hero': False}, {'actor': 'hero', 'action': 'raise_high', 'is_hero': True}]",230.5,-115.25,False,True,[2♣] [6♠],[3♥] [8♣],2025-08-11T17:30:12.582977,trash|BB|very_deep|high
trash,BB,very_deep,high,very_deep,raise_high,False,"[{'actor': 'villain', 'action': 'raise_high', 'is_hero': False}, {'actor': 'hero', 'action': 'call_mid', 'is_hero': True}]",25.6,12.8,True,True,[J♠] [2♥],[7♦] [9♣],2025-08-11T17:30:13.005446,trash|BB|very_deep|high
trash,BTN,very_deep,low,very_deep,raise_small,True,"[{'actor': 'hero', 'action': 'call_small', 'is_hero': True}, {'actor': 'villain', 'action': 'raise_high', 'is_hero': False}, {'actor': 'hero', 'action': 'raise_high', 'is_hero': True}, {'actor': 'villain', 'action': 'raise_small', 'is_hero': False}]",327.5,163.75,True,True,[6♠] [J♦],[5♥] [4♣],2025-08-11T17:30:13.434042,trash|BTN|very_deep|low
trash,BB,very_deep,low,deep,raise_small,True,"[{'actor': 'villain', 'action': 'call_small', 'is_hero': False}, {'actor': 'hero', 'action': 'raise_small', 'is_hero': True}, {'actor': 'villain', 'action': 'raise_small', 'is_hero': False}, {'actor': 'hero', 'action': 'call_small', 'is_hero': True}]",138.4,69.2,True,True,[Q♥] [8♦],[A♦] [3♠],2025-08-11T17:30:13.865853,trash|BB|very_deep|low
trash,BTN,medium,medium,ultra_short,unknown,False,"[{'actor': 'hero', 'action': 'fold', 'is_hero': True}]",1.5,-0.75,False,False,[Q♣] [K♦],[A♣] [Q♦],2025-08-11T17:30:13.866619,trash|BTN|medium|medium
trash,BTN,very_deep,low,very_deep,call_high,False,"[{'actor': 'hero', 'action': 'raise_high', 'is_hero': True}, {'actor': 'villain', 'action': 'call_high', 'is_hero': False}]",18.6,9.3,True,True,[T♦] [T♥],[2♣] [K♥],2025-08-11T17:30:14.287519,trash|BTN|very_deep|low
