scenario_key,hand_cat,position,stack_cat,blinds_level,villain_stack_cat,preflop_context,visits,pct_fold,pct_call_small,pct_raise_small,pct_raise_mid,pct_raise_high
trash|BTN|very_deep|medium|very_deep|standard,trash,BTN,very_deep,medium,very_deep,standard,20,0.25,0.35,0.1,0.1,0.2
trash|BB|very_deep|medium|very_deep|opp_check,trash,BB,very_deep,medium,very_deep,opp_check,5,0.2,0.2,0.4,0.2,0.0
trash|BTN|very_deep|medium|very_deep|opp_raise_mid,trash,BTN,very_deep,medium,very_deep,opp_raise_mid,3,0.0,0.3333,0.0,0.3333,0.3333
small_pairs|BB|very_deep|medium|very_deep|opp_check,small_pairs,BB,very_deep,medium,very_deep,opp_check,1,1.0,0.0,0.0,0.0,0.0
trash|BB|very_deep|medium|very_deep|opp_raise_low,trash,BB,very_deep,medium,very_deep,opp_raise_low,6,0.3333,0.5,0.0,0.1667,0.0
suited_gappers|BTN|very_deep|medium|very_deep|standard,suited_gappers,BTN,very_deep,medium,very_deep,standard,1,1.0,0.0,0.0,0.0,0.0
medium_aces|BTN|very_deep|medium|very_deep|standard,medium_aces,BTN,very_deep,medium,very_deep,standard,1,0.0,0.0,0.0,1.0,0.0
trash|BB|very_deep|medium|very_deep|opp_raise_mid,trash,BB,very_deep,medium,very_deep,opp_raise_mid,2,0.0,0.5,0.0,0.5,0.0
offsuit_broadway|BTN|very_deep|medium|very_deep|standard,offsuit_broadway,BTN,very_deep,medium,very_deep,standard,3,0.3333,0.3333,0.0,0.0,0.3333
trash|BB|very_deep|medium|very_deep|opp_call_low,trash,BB,very_deep,medium,very_deep,opp_call_low,2,0.0,0.0,0.5,0.0,0.5
offsuit_broadway|BTN|very_deep|medium|very_deep|opp_raise_high,offsuit_broadway,BTN,very_deep,medium,very_deep,opp_raise_high,1,0.0,0.0,0.0,1.0,0.0
trash|BB|very_deep|medium|very_deep|opp_raise_mid_3bet,trash,BB,very_deep,medium,very_deep,opp_raise_mid_3bet,3,0.0,0.3333,0.0,0.3333,0.3333
