scenario,action,probability
[5♣] [9♦]|medium,fold,0.2
[5♣] [9♦]|medium,call_small,0.2
[5♣] [9♦]|medium,raise_small,0.2
[5♣] [9♦]|medium,raise_mid,0.2
[5♣] [9♦]|medium,raise_high,0.2
[9♣] [5♦]|deep,fold,0.2
[9♣] [5♦]|deep,call_small,0.2
[9♣] [5♦]|deep,raise_small,0.2
[9♣] [5♦]|deep,raise_mid,0.2
[9♣] [5♦]|deep,raise_high,0.2
[Q♦] [5♥]|medium,fold,0.2
[Q♦] [5♥]|medium,call_small,0.2
[Q♦] [5♥]|medium,raise_small,0.2
[Q♦] [5♥]|medium,raise_mid,0.2
[Q♦] [5♥]|medium,raise_high,0.2
[9♦] [5♣]|short,fold,0.2
[9♦] [5♣]|short,call_small,0.2
[9♦] [5♣]|short,raise_small,0.2
[9♦] [5♣]|short,raise_mid,0.2
[9♦] [5♣]|short,raise_high,0.2
[8♠] [Q♥]|short,fold,0.2
[8♠] [Q♥]|short,call_small,0.2
[8♠] [Q♥]|short,raise_small,0.2
[8♠] [Q♥]|short,raise_mid,0.2
[8♠] [Q♥]|short,raise_high,0.2
[6♥] [7♠]|medium,fold,0.2
[6♥] [7♠]|medium,call_small,0.2
[6♥] [7♠]|medium,raise_small,0.2
[6♥] [7♠]|medium,raise_mid,0.2
[6♥] [7♠]|medium,raise_high,0.2
[J♠] [3♣]|short,fold,0.2
[J♠] [3♣]|short,call_small,0.2
[J♠] [3♣]|short,raise_small,0.2
[J♠] [3♣]|short,raise_mid,0.2
[J♠] [3♣]|short,raise_high,0.2
[7♣] [8♣]|medium,fold,0.2
[7♣] [8♣]|medium,call_small,0.2
[7♣] [8♣]|medium,raise_small,0.2
[7♣] [8♣]|medium,raise_mid,0.2
[7♣] [8♣]|medium,raise_high,0.2
[A♥] [T♥]|short,fold,0.2
[A♥] [T♥]|short,call_small,0.2
[A♥] [T♥]|short,raise_small,0.2
[A♥] [T♥]|short,raise_mid,0.2
[A♥] [T♥]|short,raise_high,0.2
[4♥] [K♥]|medium,fold,0.2
[4♥] [K♥]|medium,call_small,0.2
