hero_cards,villain_cards,hero_cards_str,villain_cards_str,hero_stack_bb,villain_stack_bb,stack_category,hero_action,villain_action,result,hero_stack_change,iteration
"[135427, 164099]","[2114829, 266757]",[3♠] [3♣],[7♦] [4♠],30.0,30.0,medium,call_small,raise_high,villain_wins,-1.5,1
"[4199953, 8394515]","[16795671, 266757]",[8♠] [9♠],[T♦] [4♠],28.5,31.5,medium,raise_mid,raise_mid,villain_wins,-1.5,2
"[4212241, 69634]","[16787479, 134236965]",[8♦] [2♠],[T♥] [K♦],27.0,33.0,short,raise_mid,raise_mid,hero_wins,7.5,3
"[67144223, 4228625]","[16812055, 268446761]",[Q♣] [8♣],[T♣] [A♥],34.5,25.5,short,raise_high,fold,hero_wins,1.5,4
"[533255, 8406803]","[147715, 98306]",[5♥] [9♦],[3♦] [2♣],36.0,24.0,medium,raise_mid,fold,hero_wins,1.5,5
"[2131213, 1053707]","[67115551, 81922]",[7♣] [6♠],[Q♠] [2♦],37.5,22.5,medium,raise_mid,raise_mid,hero_wins,7.5,6
"[134228773, 67115551]","[134224677, 134253349]",[K♥] [Q♠],[K♠] [K♣],45.0,15.0,medium,raise_high,raise_small,villain_wins,-1.5,7
"[2114829, 16812055]","[266757, 295429]",[7♦] [T♣],[4♠] [4♣],43.5,16.5,deep,fold,call_small,villain_wins,-1.5,8
"[295429, 67115551]","[4228625, 139523]",[4♣] [Q♠],[8♣] [3♥],42.0,18.0,deep,raise_small,raise_mid,villain_wins,-1.5,9
"[134253349, 533255]","[541447, 8398611]",[K♣] [5♥],[5♦] [9♥],40.5,19.5,medium,raise_high,raise_high,hero_wins,7.5,10
"[33564957, 268446761]","[8394515, 270853]",[J♥] [A♥],[9♠] [4♥],48.0,12.0,short,raise_high,raise_high,hero_wins,7.5,11
"[139523, 134236965]","[8394515, 33564957]",[3♥] [K♦],[9♠] [J♥],55.5,4.5,short,raise_mid,fold,hero_wins,1.5,12
"[2106637, 533255]","[1082379, 67127839]",[7♥] [5♥],[6♣] [Q♦],57.0,3.0,medium,raise_high,fold,hero_wins,1.5,13
"[533255, 147715]","[1053707, 4228625]",[5♥] [3♦],[6♠] [8♣],58.5,1.5,medium,raise_small,fold,hero_wins,1.5,14
