scenario,action,probability
[3♦] [2♣]|short,fold,0.2
[3♦] [2♣]|short,call_small,0.2
[3♦] [2♣]|short,raise_small,0.2
[3♦] [2♣]|short,raise_mid,0.2
[3♦] [2♣]|short,raise_high,0.2
[6♣] [Q♦]|deep,fold,0.5
[6♣] [Q♦]|deep,call_high,0.5
[5♦] [9♥]|short,fold,0.2
[5♦] [9♥]|short,call_small,0.2
[5♦] [9♥]|short,raise_small,0.2
[5♦] [9♥]|short,raise_mid,0.2
[5♦] [9♥]|short,raise_high,0.2
[7♦] [4♠]|medium,fold,0.2
[7♦] [4♠]|medium,call_small,0.2
[7♦] [4♠]|medium,raise_small,0.2
[7♦] [4♠]|medium,raise_mid,0.2
[7♦] [4♠]|medium,raise_high,0.2
[T♦] [4♠]|medium,fold,0.2
[T♦] [4♠]|medium,call_small,0.2
[T♦] [4♠]|medium,raise_small,0.2
[T♦] [4♠]|medium,raise_mid,0.2
[T♦] [4♠]|medium,raise_high,0.2
[9♠] [J♥]|deep,fold,0.5
[9♠] [J♥]|deep,call_high,0.5
[6♠] [8♣]|deep,fold,0.5
[6♠] [8♣]|deep,call_high,0.5
[K♠] [K♣]|short,fold,0.2
[K♠] [K♣]|short,call_small,0.2
[K♠] [K♣]|short,raise_small,0.2
[K♠] [K♣]|short,raise_mid,0.2
[K♠] [K♣]|short,raise_high,0.2
[4♠] [4♣]|short,fold,0.2
[4♠] [4♣]|short,call_small,0.2
[4♠] [4♣]|short,raise_small,0.2
[4♠] [4♣]|short,raise_mid,0.2
[4♠] [4♣]|short,raise_high,0.2
[T♣] [A♥]|deep,fold,0.2
[T♣] [A♥]|deep,call_small,0.2
[T♣] [A♥]|deep,raise_small,0.2
[T♣] [A♥]|deep,raise_mid,0.2
[T♣] [A♥]|deep,raise_high,0.2
[Q♠] [2♦]|short,fold,0.2
[Q♠] [2♦]|short,call_small,0.2
[Q♠] [2♦]|short,raise_small,0.2
[Q♠] [2♦]|short,raise_mid,0.2
[Q♠] [2♦]|short,raise_high,0.2
[9♠] [4♥]|short,fold,0.2
[9♠] [4♥]|short,call_small,0.2
[9♠] [4♥]|short,raise_small,0.2
[9♠] [4♥]|short,raise_mid,0.2
[9♠] [4♥]|short,raise_high,0.2
[T♥] [K♦]|medium,fold,0.2
[T♥] [K♦]|medium,call_small,0.2
[T♥] [K♦]|medium,raise_small,0.2
[T♥] [K♦]|medium,raise_mid,0.2
[T♥] [K♦]|medium,raise_high,0.2
[8♣] [3♥]|short,fold,0.2
[8♣] [3♥]|short,call_small,0.2
[8♣] [3♥]|short,raise_small,0.2
[8♣] [3♥]|short,raise_mid,0.2
[8♣] [3♥]|short,raise_high,0.2
