hand_category,position,stack_depth,blinds_level,villain_stack_category,opponent_action,is_3bet,action_history,final_pot_bb,hero_payoff,hero_won,showdown,hero_cards,villain_cards,timestamp,scenario_key
trash,BB,very_deep,high,very_deep,raise_high,False,"[{'actor': 'villain', 'action': 'raise_high', 'is_hero': False}, {'actor': 'hero', 'action': 'call_high', 'is_hero': True}]",23.5,-11.75,False,True,[7♣] [8♦],[6♦] [A♠],2025-08-12T09:27:46.441549,trash|BB|very_deep|high
trash,BTN,very_deep,low,ultra_short,unknown,False,"[{'actor': 'hero', 'action': 'fold', 'is_hero': True}]",1.5,-0.75,False,False,[9♥] [4♦],[9♣] [K♦],2025-08-12T09:27:46.442280,trash|BTN|very_deep|low
trash,BB,medium,low,deep,raise_high,False,"[{'actor': 'villain', 'action': 'raise_high', 'is_hero': False}, {'actor': 'hero', 'action': 'call_mid', 'is_hero': True}]",11.1,5.55,True,True,[8♣] [5♦],[7♣] [6♣],2025-08-12T09:27:46.883052,trash|BB|medium|low
trash,BB,ultra_short,medium,deep,call_small,False,"[{'actor': 'villain', 'action': 'call_small', 'is_hero': False}, {'actor': 'hero', 'action': 'fold', 'is_hero': True}]",6.9,-3.45,False,False,[7♦] [5♦],[J♠] [4♥],2025-08-12T09:27:46.883816,trash|BB|ultra_short|medium
trash,BB,medium,low,deep,raise_mid,False,"[{'actor': 'villain', 'action': 'raise_mid', 'is_hero': False}, {'actor': 'hero', 'action': 'fold', 'is_hero': True}]",6.0,-3.0,False,False,[A♠] [8♥],[A♥] [K♥],2025-08-12T09:27:46.884553,trash|BB|medium|low
trash,BTN,very_deep,high,medium,raise_mid,False,"[{'actor': 'hero', 'action': 'call_small', 'is_hero': True}, {'actor': 'villain', 'action': 'raise_mid', 'is_hero': False}, {'actor': 'hero', 'action': 'call_small', 'is_hero': True}]",64.37,-32.185,False,True,[7♠] [9♥],[8♠] [2♠],2025-08-12T09:27:47.321438,trash|BTN|very_deep|high
trash,BB,deep,medium,very_deep,raise_high,False,"[{'actor': 'villain', 'action': 'raise_high', 'is_hero': False}, {'actor': 'hero', 'action': 'fold', 'is_hero': True}]",7.5,-3.75,False,False,[3♣] [7♥],[6♣] [T♥],2025-08-12T09:27:47.322302,trash|BB|deep|medium
trash,BTN,deep,medium,very_deep,raise_small,False,"[{'actor': 'hero', 'action': 'call_small', 'is_hero': True}, {'actor': 'villain', 'action': 'raise_small', 'is_hero': False}, {'actor': 'hero', 'action': 'fold', 'is_hero': True}]",33.6,-16.8,False,False,[7♥] [K♣],[3♣] [6♦],2025-08-12T09:27:47.323014,trash|BTN|deep|medium
trash,BTN,very_deep,high,very_deep,call_mid,True,"[{'actor': 'hero', 'action': 'raise_mid', 'is_hero': True}, {'actor': 'villain', 'action': 'raise_small', 'is_hero': False}, {'actor': 'hero', 'action': 'raise_high', 'is_hero': True}, {'actor': 'villain', 'action': 'call_mid', 'is_hero': False}]",121.5,60.75,True,True,[5♠] [A♣],[K♥] [4♠],2025-08-12T09:27:47.756834,trash|BTN|very_deep|high
trash,BTN,medium,medium,medium,unknown,False,"[{'actor': 'hero', 'action': 'fold', 'is_hero': True}]",1.5,-0.75,False,False,[Q♠] [5♣],[Q♣] [2♥],2025-08-12T09:27:47.757646,trash|BTN|medium|medium
